"asset","timestamp","close","price_change","daily_return","up_days_in_week"
"ADA","2017-10-08 00:00:00","0.02","0.00","0.00","0"
"ADA","2017-10-15 00:00:00","0.03","0.01","50.00","1"
"ADA","2017-10-22 00:00:00","0.03","0.00","0.00","1"
"ADA","2017-10-29 00:00:00","0.03","0.00","0.00","1"
"ADA","2017-11-05 00:00:00","0.02","-0.01","-33.33","1"
"ADA","2017-11-12 00:00:00","0.02","0.00","0.00","1"
"ADA","2017-11-19 00:00:00","0.03","0.01","50.00","2"
"ADA","2017-11-26 00:00:00","0.04","0.01","33.33","3"
"ADA","2017-12-03 00:00:00","0.13","0.09","225.00","3"
"ADA","2017-12-10 00:00:00","0.11","-0.02","-15.38","3"
"ADA","2017-12-17 00:00:00","0.51","0.40","363.64","4"
"ADA","2017-12-24 00:00:00","0.39","-0.12","-23.53","4"
"ADA","2017-12-31 00:00:00","0.72","0.33","84.62","5"
"ADA","2018-01-07 00:00:00","1.01","0.29","40.28","5"
"ADA","2018-01-14 00:00:00","0.80","-0.21","-20.79","4"
"ADA","2018-01-21 00:00:00","0.61","-0.19","-23.75","3"
"ADA","2018-01-28 00:00:00","0.67","0.06","9.84","4"
"ADA","2018-02-04 00:00:00","0.38","-0.29","-43.28","3"
"ADA","2018-02-11 00:00:00","0.37","-0.01","-2.63","3"
"ADA","2018-02-18 00:00:00","0.39","0.02","5.41","3"
"ADA","2018-02-25 00:00:00","0.34","-0.05","-12.82","2"
"ADA","2018-03-04 00:00:00","0.30","-0.04","-11.76","2"
"ADA","2018-03-11 00:00:00","0.22","-0.08","-26.67","2"
"ADA","2018-03-18 00:00:00","0.16","-0.06","-27.27","1"
"ADA","2018-03-25 00:00:00","0.18","0.02","12.50","2"
"ADA","2018-04-01 00:00:00","0.15","-0.03","-16.67","2"
"ADA","2018-04-08 00:00:00","0.16","0.01","6.67","2"
"ADA","2018-04-15 00:00:00","0.22","0.06","37.50","3"
"ADA","2018-04-22 00:00:00","0.29","0.07","31.82","4"
"ADA","2018-04-29 00:00:00","0.37","0.08","27.59","5"
"ADA","2018-05-06 00:00:00","0.35","-0.02","-5.41","5"
"ADA","2018-05-13 00:00:00","0.29","-0.06","-17.14","4"
"ADA","2018-05-20 00:00:00","0.26","-0.03","-10.34","4"
"ADA","2018-05-27 00:00:00","0.19","-0.07","-26.92","3"
"ADA","2018-06-03 00:00:00","0.23","0.04","21.05","3"
"ADA","2018-06-10 00:00:00","0.18","-0.05","-21.74","2"
"ADA","2018-06-17 00:00:00","0.16","-0.02","-11.11","1"
"ADA","2018-06-24 00:00:00","0.13","-0.03","-18.75","1"
"ADA","2018-07-01 00:00:00","0.14","0.01","7.69","2"
"ADA","2018-07-08 00:00:00","0.15","0.01","7.14","3"
"ADA","2018-07-15 00:00:00","0.14","-0.01","-6.67","3"
"ADA","2018-07-22 00:00:00","0.17","0.03","21.43","3"
"ADA","2018-07-29 00:00:00","0.16","-0.01","-5.88","3"
"ADA","2018-08-05 00:00:00","0.13","-0.03","-18.75","3"
"ADA","2018-08-12 00:00:00","0.11","-0.02","-15.38","3"
"ADA","2018-08-19 00:00:00","0.10","-0.01","-9.09","2"
"ADA","2018-08-26 00:00:00","0.09","-0.01","-10.00","1"
"ADA","2018-09-02 00:00:00","0.10","0.01","11.11","2"
"ADA","2018-09-09 00:00:00","0.08","-0.02","-20.00","1"
"ADA","2018-09-16 00:00:00","0.07","-0.01","-12.50","1"
"ADA","2018-09-23 00:00:00","0.09","0.02","28.57","2"
"ADA","2018-09-30 00:00:00","0.09","0.00","0.00","2"
"ADA","2018-10-07 00:00:00","0.08","-0.01","-11.11","2"
"ADA","2018-10-14 00:00:00","0.07","-0.01","-12.50","2"
"ADA","2018-10-21 00:00:00","0.08","0.01","14.29","2"
"ADA","2018-10-28 00:00:00","0.07","-0.01","-12.50","2"
"ADA","2018-11-04 00:00:00","0.08","0.01","14.29","3"
"ADA","2018-11-11 00:00:00","0.08","0.00","0.00","2"
"ADA","2018-11-18 00:00:00","0.06","-0.02","-25.00","2"
"ADA","2018-11-25 00:00:00","0.04","-0.02","-33.33","2"
"ADA","2018-12-02 00:00:00","0.04","0.00","0.00","2"
"ADA","2018-12-09 00:00:00","0.03","-0.01","-25.00","1"
"ADA","2018-12-16 00:00:00","0.03","0.00","0.00","1"
"ADA","2018-12-23 00:00:00","0.04","0.01","33.33","1"
"ADA","2018-12-30 00:00:00","0.04","0.00","0.00","1"
"ADA","2019-01-06 00:00:00","0.05","0.01","25.00","2"
"ADA","2019-01-13 00:00:00","0.04","-0.01","-20.00","2"
"ADA","2019-01-20 00:00:00","0.04","0.00","0.00","2"
"ADA","2019-01-27 00:00:00","0.04","0.00","0.00","2"
"ADA","2019-02-03 00:00:00","0.04","0.00","0.00","2"
"ADA","2019-02-10 00:00:00","0.04","0.00","0.00","1"
"ADA","2019-02-17 00:00:00","0.04","0.00","0.00","1"
"ADA","2019-02-24 00:00:00","0.04","0.00","0.00","0"
