timestamp,QE/QT,MAX of total_assets (millions USD)
01-2017,Neither,4452838
02-2017,Neither,4468702
03-2017,Neither,4478236
04-2017,Neither,4484492
05-2017,Neither,4473459
06-2017,Neither,4476269
07-2017,Neither,4476903
08-2017,Neither,4469083
09-2017,Neither,4471174
10-2017,QT,4469723
11-2017,QT,4458552
12-2017,QT,4452726
01-2018,QT,4446062
02-2018,QT,4434863
03-2018,QT,4407258
04-2018,QT,4386104
05-2018,QT,4358207
06-2018,QT,4324906
07-2018,QT,4291615
08-2018,QT,4258030
09-2018,QT,4210812
10-2018,QT,4176906
11-2018,QT,4145892
12-2018,QT,4088314
01-2019,QT,4058378
02-2019,QT,4028431
03-2019,QT,3971559
04-2019,QT,3936784
05-2019,QT,3892216
06-2019,QT,3849955
07-2019,QT,3815038
08-2019,QT,3786018
09-2019,Neither,3857715
10-2019,Neither,4019823
11-2019,Neither,4052875
12-2019,Neither,4165591
01-2020,Neither,4175850
02-2020,Neither,4182689
03-2020,Neither,5254278
04-2020,Neither,6655929
05-2020,Neither,6934227
05-2020,QE,7097316
06-2020,QE,7168936
07-2020,QE,7009040
08-2020,QE,7010637
09-2020,QE,7093161
10-2020,QE,7177265
11-2020,QE,7243080
12-2020,QE,7404039
01-2021,QE,7414942
02-2021,QE,7590111
03-2021,QE,7719622
04-2021,QE,7820948
05-2021,QE,7922883
06-2021,QE,8101945
07-2021,QE,8240530
08-2021,QE,8342598
09-2021,QE,8489824
10-2021,QE,8564943
11-2021,QE,8681771
12-2021,QE,8790495
01-2022,QE,8867834
02-2022,QE,8928129
03-2022,QE,8962474
04-2022,Neither,8965487
05-2022,Neither,8945898
06-2022,QT,8934346
07-2022,QT,8899213
08-2022,QT,8879138
09-2022,QT,8832759
10-2022,QT,8759053
11-2022,QT,8678886
12-2022,QT,8583413
01-2023,QT,8508587
02-2023,QT,8435369
03-2023,QT,8733787
04-2023,QT,8632384
05-2023,QT,8503994
06-2023,QT,8389325
07-2023,QT,8298312
08-2023,QT,8208241
09-2023,QT,8101318
10-2023,QT,7955782
11-2023,QT,7866664
12-2023,QT,7739566
01-2024,QT,7686710
02-2024,QT,7633874
03-2024,QT,7541969
04-2024,QT,7439558
05-2024,QT,7362474
06-2024,QT,7258974
07-2024,QT,7224079
08-2024,QT,7177688
09-2024,QT,7115001
10-2024,QT,7046925
11-2024,QT,6994299
12-2024,QT,6897485
